beer_id,beer_name,name,origin,_type,_yield,amount,potential,color,add_after_boil,coarse_fine_diff,moisture,diastatic_power,protein,max_in_batch,recommend_mash,ibu_gal_per_lb,notes
citripa,[u'Citripa'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
citripa,[u'Citripa'],[u'Maris Otter Pale Ale Malt'],[u'United Kingdom'],[u'Base Malt'],[u'77.7369898510041'],[u'5.4431084400000005'],[u'1.036'],[u'2'],[],[],[],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'6-Row Brewers Malt'],[u'United States'],[u'Base Malt'],[u'77.7369898510041'],[u'3.628734644520015'],[u'1.036'],[u'1'],[],[],[],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'Oat Flakes'],[u'United Kingdom'],[u'Adjunct'],[u'66.94018570503131'],[u'0.45359183056500185'],[u'1.031'],[u'1'],[],[],[],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'American Chocolate'],[],[u'Roasted Malt'],[u'73.41826819261497'],[u'0.22679591528250093'],[u'1.034'],[u'127'],[],[],[],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'CARAFA\xae II'],[u'Germany'],[u'Caramel/Crystal Malt'],[u'69.09954653422587'],[u'0.22679591528250093'],[u'1.032'],[u'431'],[],[],[],[],[],[],[],[],[]
honey-citra-pale,[u'Honey Citra Pale'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
honey-citra-pale,[u'Honey Citra Pale'],[u'Maris Otter Pale (UK)'],[],[u'Base Malt'],[u'82.05571150939322'],[u'3.17514659'],[u'1.038'],[u'3'],[],[],[],[],[],[],[],[],[]
honey-citra-pale,[u'Honey Citra Pale'],[u'Bonlander Munich (US)'],[],[u'Kilned Malt'],[u'77.7369898510041'],[u'0.226796185'],[u'1.036'],[u'10'],[],[],[],[],[],[],[],[],[]
honey-citra-pale,[u'Honey Citra Pale'],[u'Caramel/Crystal 60L (US)'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.226796185'],[u'1.034'],[u'60'],[],[],[],[],[],[],[],[],[]
honey-citra-pale,[u'Honey Citra Pale'],[u'Amber (UK)'],[],[u'Grain'],[u'69.09954653422587'],[u'0.226796185'],[u'1.032'],[u'27'],[],[],[],[],[],[],[],[],[]
german-pilsner-8,[u'German Pilsner'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
german-pilsner-8,[u'German Pilsner'],[u'Pilsner Malt'],[u'Germany'],[u'Base Malt'],[u'79.89635068019865'],[u'4.4999946483723'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Extra Pale Liquid Malt Extract'],[],[u'Liquid Extract'],[u'73.41826819261497'],[u'3.798831580981888'],[u'1.034'],[u'1'],[],[],[],[],[],[],[],[],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'2-Row Carapils\xae\xa0Malt'],[u'United States'],[u'Adjunct'],[u'73.41826819261497'],[u'0.5669897882062522'],[u'1.034'],[u'0'],[],[],[],[],[],[],[],[],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Caramel Malt 40L'],[u'United States'],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.5669897882062522'],[u'1.034'],[u'40'],[],[],[],[],[],[],[],[],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Wheat Liquid Extract'],[],[u'Liquid Extract'],[u'77.7369898510041'],[u'0.45359183056500185'],[u'1.036'],[u'0'],[],[],[],[],[],[],[],[],[]
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'Pale 2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'7.25747792'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'Caramel/Crystal 20L (US)'],[],[u'Caramel/Crystal Malt'],[u'75.57762902180954'],[u'0.6803885550000001'],[u'1.035'],[u'20'],[],[],[],[],[],[],[],[],[]
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'Caramel/Crystal 60L (US)'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.45359237'],[u'1.034'],[u'60'],[],[],[],[],[],[],[],[],[]
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'Maris Otter Pale (UK)'],[],[u'Base Malt'],[u'82.05571150939322'],[u'0.45359237'],[u'1.038'],[u'3'],[],[],[],[],[],[],[],[],[]
ipa-938,[u'IPA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ipa-938,[u'IPA'],[u'Plain Light DME'],[],[u'Dry Extract'],[u'92.852515655366'],[u'3.5'],[u'1.043'],[u'4'],[],[],[],[],[],[],[],[],[]
blondage,[u'Blondage'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
blondage,[u'Blondage'],[u'2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'2.7215542200000002'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
blondage,[u'Blondage'],[u'Ashbourne Mild (US)'],[],[u'Grain'],[u'64.78082487583676'],[u'0.90718474'],[u'1.03'],[u'5'],[],[],[],[],[],[],[],[],[]
blondage,[u'Blondage'],[u'Cane Sugar'],[],[u'Sugar'],[u'99.33059814294968'],[u'0.45359237'],[u'1.046'],[u'0'],[],[],[],[],[],[],[],[],[]
blondage,[u'Blondage'],[u'Caramel/Crystal 40L (US)'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.05669904625'],[u'1.034'],[u'40'],[],[],[],[],[],[],[],[],[]
winter-ipa-28,[u'Winter IPA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
winter-ipa-28,[u'Winter IPA'],[u'2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'4.535923700000001'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
winter-ipa-28,[u'Winter IPA'],[u'Caramel Pils (BE)'],[],[u'Adjunct'],[u'75.57762902180954'],[u'0.90718474'],[u'1.035'],[u'2'],[],[],[],[],[],[],[],[],[]
winter-ipa-28,[u'Winter IPA'],[u'Caramel/Crystal 60L (US)'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.5896700810000001'],[u'1.034'],[u'60'],[],[],[],[],[],[],[],[],[]
winter-ipa-28,[u'Winter IPA'],[u'CaraMunich (BE)'],[],[u'Kilned Malt'],[u'71.25890736342042'],[u'0.272155422'],[u'1.033'],[u'50'],[],[],[],[],[],[],[],[],[]
