beer_id,beer_name,name,origin,alpha,beta,display_amount,amount,use,form,time,notes
big-bens-brown-ale,"[u""Big Ben's Brown Ale ""]",[u'Centennial (US)'],[u'United States'],[u'10.5'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'60'],"[u'American aroma-type variety bred in 1974 and released in September 1990 by S.T. Kenny and C.E. Zimmermann, the breeders of this variety. Similar to Cascade and Chinook. The genetic composition is 3/4 Brewers Gold, 3/32 Fuggle, 1/6 East kent Golding, 1/32 Bavarian and 1/16 Unknown. One of the ""Three Cs"" along with Cascade and Columbus. Centennial is often referred to as a \'Super Cascade\', since it has a strong citrus aroma.']"
big-bens-brown-ale,"[u""Big Ben's Brown Ale ""]",[u'Cascade (US)'],[u'United States'],[u'5.75'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'30'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
big-bens-brown-ale,"[u""Big Ben's Brown Ale ""]",[u'Cascade (US)'],[u'United States'],[u'5.75'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'15'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
big-bens-brown-ale,"[u""Big Ben's Brown Ale ""]",[u'Centennial (US)'],[u'United States'],[u'10.5'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'5'],"[u'American aroma-type variety bred in 1974 and released in September 1990 by S.T. Kenny and C.E. Zimmermann, the breeders of this variety. Similar to Cascade and Chinook. The genetic composition is 3/4 Brewers Gold, 3/32 Fuggle, 1/6 East kent Golding, 1/32 Bavarian and 1/16 Unknown. One of the ""Three Cs"" along with Cascade and Columbus. Centennial is often referred to as a \'Super Cascade\', since it has a strong citrus aroma.']"
lemon-saison-1,[u'Lemon Saison'],[u'Citra (US)'],[u'United States'],[u'14.0'],[],[u'0.4000004314845 oz'],[u'0.011339812232369833'],[u'Boil'],[u'Pellet'],[u'60'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
lemon-saison-1,[u'Lemon Saison'],[u'Citra (US)'],[u'United States'],[u'14.0'],[],[u'0.60000064722675 oz'],[u'0.017009718348554744'],[u'Boil'],[u'Pellet'],[u'1'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
hefe-iv,[u'Hefe IV'],[u'Hallertau (US)'],[u'United States'],[u'4.5'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'60'],[]
hefe-iv,[u'Hefe IV'],[u'Hallertau (US)'],[u'United States'],[u'4.5'],[],[u'0.25 oz'],[u'0.007087375'],[u'Boil'],[u'Pellet'],[u'30'],[]
hefe-iv,[u'Hefe IV'],[u'Hallertau (US)'],[u'United States'],[u'4.5'],[],[u'0.5 oz'],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'15'],[]
citra-black-ipa-bc7279,[u'Citra Black IPA'],[u'Citra (US)'],[u'United States'],[u'11.1'],[],[u'0.500000539355625 oz'],[u'0.014174765290462292'],[u'Boil'],[u'Pellet'],[u'60'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
citra-black-ipa-bc7279,[u'Citra Black IPA'],[u'Citra (US)'],[u'United States'],[u'11.1'],[],[u'0.500000539355625 oz'],[u'0.014174765290462292'],[u'Boil'],[u'Pellet'],[u'20'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
