beer_id,beer_name,name,origin,alpha,beta,amount,use,form,time,notes
citripa,[u'Citripa'],[],[],[],[],[],[],[],[],[]
citripa,[u'Citripa'],[u'Citra (US)'],[u'United States'],[u'12.0'],[],[u'0.0283495'],[u'Mash'],[u'Pellet'],[u'60'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
citripa,[u'Citripa'],[u'Citra (US)'],[u'United States'],[u'12.0'],[],[u'0.0283495'],[u'Mash'],[u'Pellet'],[u'30'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
citripa,[u'Citripa'],[u'Citra (US)'],[u'United States'],[u'12.0'],[],[u'0.01417475'],[u'Boil'],[u'Pellet'],[u'10'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[],[],[],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'Nugget (US)'],[u'United States'],[u'13.0'],[],[u'0.014174765290462292'],[u'Boil'],[u'Pellet'],[u'60'],"[u'Floral, resiny aroma and flavor. Primarily a bittering hop. Substitutes: Galena, Olympic.']"
honey-citra-pale,[u'Honey Citra Pale'],[],[],[],[],[],[],[],[],[]
honey-citra-pale,[u'Honey Citra Pale'],[u'Citra (US)'],[u'United States'],[u'13.65'],[],[u'0.01417475'],[u'Boil'],[u'Leaf'],[u'60'],"[u'Citra Brand is a registered trademark used with HBC 394 cv special aroma hop variety developed by the Hop Breeding Company (a joint venture between John I. Haas, Inc. and Select Botanicals Group, LLC). It was released in 2007. Citra Brand hops have fairly high alpha acids and total oil contents with a low percentage of cohumulone content. Citra Brand hops imparts interesting citrus and tropical fruit characters to beer.']"
honey-citra-pale,[u'Honey Citra Pale'],[u'Cascade (US)'],[u'United States'],[u'7.0'],[],[u'0.01417475'],[u'Boil'],[u'Leaf'],[u'30'],"[u'Very successful and well-established American aroma hop developed by Oregon State University\'s breeding program in 1956 from Fuggle and Serebrianker (a Russian variety), but not released for cultivation until 1972. Gives the distinct citrus/grapefruit aroma to the Pale Ale produced by California\'s Sierra Nevada Brewing Company, the best-selling American pale ale in the country. One of the ""Three Cs"" along with Centennial and Columbus. Named for the Cascade Range. Substitutes: Centennial and Columbus (but they have a higher Alpha Acid content).']"
german-pilsner-8,[u'German Pilsner'],[],[],[],[],[],[],[],[],[]
