beer_id,beer_name,name,use,time,amount,amount_is_weight,notes
big-bens-brown-ale,"[u""Big Ben's Brown Ale ""]",[],[],[],[],[],[]
lemon-saison-1,[u'Lemon Saison'],[u'Whirlfloc Tablet'],[u'Boil'],[u'5.0'],[u'0.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
hefe-iv,[u'Hefe IV'],[],[],[],[],[],[]
citra-black-ipa-bc7279,[u'Citra Black IPA'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
nut-brown-ale-102,[u'Nut Brown Ale'],[],[],[],[],[],[]
cascade-ipa-e15d96,[u'Cascade IPA'],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'Lactose'],[u'Boil'],[u'10.0'],[u'8.0'],[u'false'],[]
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'Whirlfloc Tablet'],[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
honey-citra-pale,[u'Honey Citra Pale'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
citripa,[u'Citripa'],[],[],[],[],[],[]
firework-cream-ale,[u'Firework Cream Ale'],[],[],[],[],[],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[],[],[],[],[],[]
strawberry-blonde-18,[u'Strawberry Blonde'],[u'Strawberries (Frozen)'],[u'Secondary'],[u'14.0'],[u'32.0'],[u'false'],[]
indica-clone,[u'Indica Clone'],[],[],[],[],[],[]
rubaeus-clone,[u'Rubaeus Clone'],[u'Raspberry (Whole)'],[u'Primary'],[u'2.0'],[u'1.0'],[u'false'],[]
coffee-creamer,[u'Coffee Creamer'],[u'Coffee (Brewed)'],[u'Secondary'],[u'4.0'],[u'8.0'],[u'false'],[]
biermuncher-centennial-blonde-all-grain,[u'BierMuncher centennial blonde All Grain'],[],[],[],[],[],[]
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'Spruce Tips'],[u'Boil'],[u'15.0'],[u'9.0'],[u'false'],[]
ipa-938,[u'IPA'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
uerige-alt-5-gallon-version-1,[u'Uerige Alt (5 gallon version)'],[u'Gypsum (Calcium Sulfate)'],[u'Boil'],[u'60.0'],[u'1.5'],[u'false'],[u'Reduces PH of water.']
summer-wheat-80,[u'Summer Wheat'],[u'Lemon Zest'],[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],[]
snoweizen,[u'Snoweizen'],[u'Grapefruit Zest'],[u'Boil'],[u'10.0'],[u'0.25'],[u'false'],[]
goose-ipa-b8cc58,[u'Goose IPA'],[u'Irish Moss'],[u'Boil'],[u'30.0'],[u'0.5'],[u'false'],[]
ipahhh,[u'IPAHHH!'],[],[],[],[],[],[]
brulosophy-oktoberfest,[u'Brulosophy Oktoberfest'],[],[],[],[],[],[]
peanut-butter-jelly-time-1,[u'Peanut Butter Jelly Time'],[u'Strawberries (Frozen)'],[u'Secondary'],[u'1.0'],[u'16.0'],[u'false'],[]
pumpkin-beer-27,[u'Pumpkin Beer'],[u'Vanilla Extract'],[u'Boil'],[u'5.0'],[u'0.5'],[u'false'],[]
mans-best-friend-1,"[u""Man's Best Friend""]",[],[],[],[],[],[]
bitterye,[u'BitteRye'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
yoopers-oatmeal-stout-8,"[u""Yooper's Oatmeal Stout""]",[],[],[],[],[],[]
winter-ipa-28,[u'Winter IPA'],[u'Whirlfloc Tablet'],[],[u'20.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
chinook-smash-4,[u'Chinook SMaSH'],[u'Irish Moss'],[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],[]
ashleighs-knock-you-on-your-ass-beer,"[u""Ashleigh's Knock You on Your Ass Beer""]",[],[],[],[],[],[]
cherry-dark-belgian,[u'Cherry Dark Belgian'],[u'Oak Chips'],[u'Secondary'],[u'10.0'],[u'1.0'],[u'false'],[]
winter-warmer-ale-2013,[u'Winter warmer ale 2013'],[],[],[],[],[],[]
welcome-winter-english-ale,[u'Welcome Winter English Ale'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
vanilla-porter-101,[u'Vanilla Porter'],[u'Vanilla Beans'],[u'Secondary'],[u'7.0'],[u'1.0'],[u'false'],[]
hibernation-ale-gdbc-clone,[u'Hibernation Ale - GDBC Clone'],[],[],[],[],[],[]
