beer_id,beer_name,mash_type,brewer,batch_size,boil_size,efficiency
big-bens-brown-ale,"[u""Big Ben's Brown Ale ""]",[u'All Grain'],[u'Hoptastified'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
lemon-saison-1,[u'Lemon Saison'],[u'Partial Mash'],[u'akruspe'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
hefe-iv,[u'Hefe IV'],[u'All Grain'],[u'Lostyooper'],[u'22.71247068'],[u'30.28329424'],[u'75.0']
citra-black-ipa-bc7279,[u'Citra Black IPA'],[u'Partial Mash'],[u'pfunkross'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
nut-brown-ale-102,[u'Nut Brown Ale'],[u'All Grain'],[u'Jrod'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
cascade-ipa-e15d96,[u'Cascade IPA'],[u'All Grain'],[u'Jim'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'All Grain'],[u'mattc'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'All Grain'],[u'uberg33k'],[u'19.873411845'],[u'23.848094214'],[u'65.0']
honey-citra-pale,[u'Honey Citra Pale'],[u'All Grain'],[u'steeleybran'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
citripa,[u'Citripa'],[u'All Grain'],[u'Marcel Woodman'],[u'20.81976479'],[u'23.658823625'],[u'75.0']
firework-cream-ale,[u'Firework Cream Ale'],[u'All Grain'],[u'Lostyooper'],[u'22.71247068'],[u'30.28329424'],[u'75.0']
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Partial Mash'],[u'Craig'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
strawberry-blonde-18,[u'Strawberry Blonde'],[u'All Grain'],[u'Andrew'],[u'19.911265962799998'],[u'25.0594259836'],[u'75.0']
indica-clone,[u'Indica Clone'],[u'All Grain'],[u'Pedro Ivo'],[u'28.0'],[u'8.14'],[u'75.0']
rubaeus-clone,[u'Rubaeus Clone'],[u'All Grain'],[u'RBCostanza'],[u'18.9270589'],[u'17.03435301'],[u'75.0']
coffee-creamer,[u'Coffee Creamer'],[u'All Grain'],[u'John Porterfield'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
biermuncher-centennial-blonde-all-grain,[u'BierMuncher centennial blonde All Grain'],[u'All Grain'],[u'Blind squirrel'],[u'41.63952958'],[u'49.967435496'],[u'70.0']
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'All Grain'],[u'SEATTLEBREWING'],[u'37.8541178'],[u'45.42494136'],[u'75.0']
ipa-938,[u'IPA'],[u'Extract'],[u'rimstad'],[u'20.0'],[u'6.336'],[u'75.0']
uerige-alt-5-gallon-version-1,[u'Uerige Alt (5 gallon version)'],[u'All Grain'],[u'Bob'],[u'20.781910672200002'],[u'26.0436330464'],[u'80.0']
summer-wheat-80,[u'Summer Wheat'],[u'Extract'],[u'BrewmasterBob'],[u'18.9270589'],[u'20.81976479'],[u'75.0']
snoweizen,[u'Snoweizen'],[u'All Grain'],[u'fermentalist'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
goose-ipa-b8cc58,[u'Goose IPA'],[u'Extract'],[u'Greydalf'],[u'8.0440000325'],[u'5.110305903'],[u'75.0']
ipahhh,[u'IPAHHH!'],[u'Partial Mash'],[u'henrikalmer'],[u'12.0'],[u'2.744'],[u'75.0']
